company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source
우진엔텍,2024-01-24,1030503,20240115000087,[발행조건확정]증권신고서(지분증권),general,14.87,25.3,20.085,4300.0,4900.0,4600.0,5300.0,0.1522,,,,PER,,,2060000.0,,14.9,25.3,20.1,코스닥,0.0,0.0,3.0,partial,386832.0,,0.015,OK,,,,
LS머트리얼즈,2023-12-12,1528141,20231130001608,[발행조건확정]증권신고서(지분증권),general,13.62,30.89,22.255,4400.0,5500.0,4950.0,6000.0,0.2121,,,,EV/EBITDA,6423.0,,,87750000000.0,14.36,31.49,22.925,코스닥,0.0,0.0,3.0,partial,640531.0,6.5857,0.67,OK,,,,
케이엔에스,2023-12-06,1402995,20231124000347,[발행조건확정]증권신고서(지분증권),general,22.34,32.93,27.635,19000.0,22000.0,20500.0,23000.0,0.122,5729.0,57.29,,PER,28327.0,4442278.0,,,22.34,32.93,27.635,코스닥,0.0,0.0,4.0,ok,341332.0,18.8054,0.0,OK,,,,
에이에스텍,2023-11-28,1538528,20231115000157,[발행조건확정]증권신고서(지분증권),general,21.96,34.44,28.2,21000.0,25000.0,23000.0,28000.0,0.2174,,,,PER,,,35715.0,39396000000.0,21.96,34.44,28.2,코스닥,0.0,0.0,3.0,partial,508140.0,,0.0,OK,,,,
한선엔지니어링,2023-11-24,958451,20231110000103,[발행조건확정]증권신고서(지분증권),general,22.68,32.99,27.835,5200.0,6000.0,5600.0,7000.0,0.25,,,,PER,7760.0,,4250000.0,29750000000.0,22.68,32.99,27.835,코스닥,0.0,0.0,3.0,partial,557722.0,9.7938,0.0,OK,,,,
에코아이,2023-11-21,1218299,20231109000215,[발행조건확정]증권신고서(지분증권),general,15.6,30.7,23.15,28500.0,34700.0,31600.0,34700.0,0.0981,17474.0,174.74,,PER,41085.0,,2079000.0,72141300000.0,15.6,30.7,23.15,코스닥,0.0,0.0,4.0,ok,565521.0,15.541,0.0,OK,,,,
스톰테크,2023-11-20,1226270,20231108000512,[발행조건확정]증권신고서(지분증권),general,26.6,38.2,32.400000000000006,,,,,,,,,PER,,,3350000.0,36850000000.0,,,,,0.0,0.0,0.0,fail,27624.0,,,NO_XML_DR,,,,
캡스톤파트너스,2023-11-15,1497124,20231103000318,[발행조건확정]증권신고서(지분증권),general,14.87,24.32,19.595,3200.0,3600.0,3400.0,4000.0,0.1765,,,,PER,4229.0,,1596000.0,,14.87,24.32,19.595,코스닥,0.0,0.0,3.0,partial,347089.0,5.415,0.0,OK,,,,
에스와이스틸텍,2023-11-13,1135084,20231031000076,[발행조건확정]증권신고서(지분증권),general,20.0,36.0,28.0,1200.0,1500.0,1350.0,1800.0,0.3333,,,,PER,,,7000000.0,12600000000.0,20.0,36.0,28.0,코스닥,0.0,0.0,3.0,partial,360534.0,,0.0,OK,,,,
에이직랜드,2023-11-13,1540453,20231031000244,[발행조건확정]증권신고서(지분증권),general,30.96,38.38,34.67,19100.0,21400.0,20250.0,25000.0,0.2346,,,,PER,30998.0,,2636330.0,65908250000.0,30.96,38.38,34.67,코스닥,0.0,0.0,3.0,partial,768583.0,19.3496,0.0,OK,,,,
메가터치,2023-11-09,923516,20231030000175,[발행조건확정]증권신고서(지분증권),general,19.83,29.85,24.84,3500.0,4000.0,3750.0,4800.0,0.28,,,,PER,4989.0,,5200000.0,24960000000.0,19.83,29.85,24.84,코스닥,0.0,0.0,3.0,partial,605141.0,3.7883,0.0,OK,,,,
유진테크놀로지,2023-11-02,1085026,20231019000208,[발행조건확정]증권신고서(지분증권),general,30.55,38.69,34.62,12800.0,14500.0,13650.0,17000.0,0.2454,,,,PER,20879.0,,1049482.0,17841194000.0,30.55,38.69,34.62,코스닥,0.0,0.0,3.0,partial,460854.0,18.5785,0.0,OK,,,,
워트,2023-10-26,866451,20231013000580,[발행조건확정]증권신고서(지분증권),general,12.43,21.81,17.119999999999997,5000.0,5600.0,5300.0,6500.0,0.2264,,,,PER,6395.0,,,26000000000.0,,,,코스닥,0.0,0.0,3.0,partial,366046.0,-1.6419,,NO_XML_DR,,,,
에스엘에스바이오,2023-10-20,1112700,20230926000450,[발행조건확정]증권신고서(지분증권),general,7.55,19.35,13.45,8200.0,9400.0,8800.0,7000.0,-0.2045,,,,PER,10167.0,,770000.0,5390000000.0,,,31.1498,코스닥,0.0,0.0,3.0,partial,351407.0,31.1498,17.6998,MISMATCH_CHECK,,,,implied
신성에스티,2023-10-19,761183,20231006000228,[발행조건확정]증권신고서(지분증권),general,29.3,37.78,33.54,22000.0,25000.0,23500.0,26000.0,0.1064,,,,PER,35360.0,,38462.0,52000000000.0,,,26.4706,코스닥,0.0,0.0,3.0,partial,410497.0,26.4706,7.0694,MISMATCH_CHECK,,,,implied
퓨릿,2023-10-18,1027828,20231004000216,[발행조건확정]증권신고서(지분증권),general,28.0,40.5,34.25,8800.0,10700.0,9750.0,10700.0,0.0974,,,,EV/EBITDA,14824.0,,4137000.0,,28.0,40.5,34.25,코스닥,0.0,0.0,3.0,partial,562108.0,27.8198,0.0,OK,,,,
레뷰코퍼레이션,2023-10-06,1468061,20230918000162,[발행조건확정]증권신고서(지분증권),general,22.43,32.42,27.425,11500.0,13200.0,12350.0,15000.0,0.2146,,,,PER,17016.0,,2240000.0,,,,11.8477,코스닥,0.0,0.0,3.0,partial,828218.0,11.8477,15.5773,MISMATCH_CHECK,,,,implied
한싹,2023-10-04,1602638,20230918000117,[발행조건확정]증권신고서(지분증권),general,20.01,35.28,27.645000000000003,8900.0,11000.0,9950.0,12500.0,0.2563,,,,PER,,,1500000.0,18750000000.0,20.0,35.3,27.65,코스닥,0.0,0.0,3.0,partial,578849.0,,0.005,OK,,,,
인스웨이브시스템즈,2023-09-25,1222113,20230913000346,[발행조건확정]증권신고서(지분증권),general,38.96,49.14,44.05,20000.0,24000.0,22000.0,24000.0,0.0909,,,,PER,,,,,38.96,49.14,44.05,코스닥,0.0,0.0,3.0,partial,387219.0,,0.0,OK,,,,
빅텐츠,2023-08-17,550082,20230804000193,[첨부정정]증권신고서(지분증권),konex_transfer,21.56,28.38,24.97,,,,,,,,,,,,,,,,,,,,,download_failed,,,,,,,,
코츠테크놀로지,2023-08-10,959210,20230731000178,[발행조건확정]증권신고서(지분증권),general,23.69,33.65,28.67,10000.0,11500.0,10750.0,13000.0,0.2093,,,,PER,15071.0,,,13000000000.0,23.69,33.65,28.67,코스닥,0.0,0.0,3.0,partial,481817.0,13.7416,0.0,OK,,,,
엠아이큐브솔루션,2023-08-04,1497142,20230725000127,[발행조건확정]증권신고서(지분증권),general,24.48,35.81,30.145000000000003,8500.0,10000.0,9250.0,12000.0,0.2973,,,,PER,13242.0,,,14520000000.0,24.48,35.81,30.145,코스닥,0.0,0.0,3.0,partial,404009.0,9.3792,0.0,OK,,,,
에이엘티,2023-07-27,493325,20230714000210,[발행조건확정]증권신고서(지분증권),general,24.48,38.48,31.48,16700.0,20500.0,18600.0,25000.0,0.3441,,,,PER,27146.0,,900000.0,,24.48,38.48,31.48,코스닥,0.0,0.0,3.0,partial,276827.0,7.9054,0.0,OK,,,,
뷰티스킨,2023-07-24,1147487,20230712000259,[발행조건확정]증권신고서(지분증권),general,6.69,18.36,12.525,,,,26000.0,,,,,PER,25722.0,,,,6.69,18.36,12.525,코스닥,0.0,0.0,1.0,fail,543464.0,-1.0808,0.0,OK,,,,
필에너지,2023-07-14,1488320,20230704000144,[첨부정정]증권신고서(지분증권),general,20.73,30.5,25.615,,,,,,,,,,,,,,,,,,,,,download_failed,,,,,,,,
시큐센,2023-06-29,1113499,20230619000132,[발행조건확정]증권신고서(지분증권),konex_transfer,13.95,28.29,21.12,2000.0,2400.0,2200.0,3000.0,0.3636,,,,PER,2789.0,,1948000.0,5844000000.0,,,,코스닥,0.0,0.0,3.0,partial,349394.0,-7.5654,,NO_XML_DR,,,,
마녀공장,2023-06-08,1136977,20230524000321,[발행조건확정]증권신고서(지분증권),general,37.32,46.28,41.8,12000.0,14000.0,13000.0,16000.0,0.2308,,,,PER,22337.0,,,32000000000.0,37.32,46.28,41.8,코스닥,0.0,0.0,3.0,partial,341158.0,28.37,0.0,OK,,,,
나라셀라,2023-06-02,1021639,20230519000339,[발행조건확정]증권신고서(지분증권),general,21.52,34.6,28.06,20000.0,24000.0,22000.0,20000.0,-0.0909,,,,PER,,,,,21.52,34.6,28.06,코스닥,0.0,0.0,3.0,partial,335641.0,,0.0,OK,,,,
진영,2023-06-01,816933,20230519000263,[발행조건확정]증권신고서(지분증권),general,31.41,41.21,36.31,3600.0,4200.0,3900.0,5000.0,0.2821,,,,PER,6123.0,,4250000.0,21250000000.0,31.4,41.2,36.3,코스닥,0.0,0.0,3.0,partial,442940.0,18.3407,0.01,OK,,,,
기가비스,2023-05-24,765569,20230512000026,[발행조건확정]증권신고서(지분증권),general,39.0,47.14,43.07,34400.0,39700.0,37050.0,43000.0,0.1606,,,,PER,65082.0,,2218258.0,95385094000.0,,,33.9295,코스닥,0.0,0.0,3.0,partial,389674.0,33.9295,9.1405,MISMATCH_CHECK,,,,implied
트루엔,2023-05-17,1134216,20230503000315,[발행조건확정]증권신고서(지분증권),general,23.47,36.22,29.845,10000.0,12000.0,11000.0,12000.0,0.0909,,,,PER,15680.0,,2500000.0,30000000000.0,23.47,36.22,29.845,코스닥,0.0,0.0,3.0,partial,406518.0,23.4694,0.0,OK,,,,
토마토시스템,2023-04-27,1436479,20230414000088,[발행조건확정]증권신고서(지분증권),general,21.35,35.52,28.435,18200.0,22200.0,20200.0,18200.0,-0.099,,,,PER,,,860000.0,15652000000.0,21.35,35.52,28.435,코스닥,0.0,0.0,3.0,partial,270333.0,,0.0,OK,,,,
LB인베스트먼트,2023-03-29,231901,20230316001463,[발행조건확정]증권신고서(지분증권),general,19.78,30.79,25.285,,,,5100.0,,,,,PER,,,,23552039700.0,,,,코스닥,0.0,0.0,1.0,fail,81962.0,,,NO_XML_DR,,,,
