company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset
민테크,2024-05-03,01689035,452200,20240422000037,[발행조건확정]증권신고서(지분증권),general,13.62,33.95,23.785,6500.0,8500.0,7500.0,10500.0,0.4,,,,PER,9841.0,,3000000.0,,13.62,33.95,23.785,코스닥,0.0,0.0,3.0,partial,370406.0,-6.6965,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
밀리의서재,2023-09-27,01467451,418470,20230915000280,[발행조건확정]증권신고서(지분증권),general,38.16,46.23,42.195,20000.0,23000.0,21500.0,23000.0,0.0698,,,,PER,37193.0,,1500000.0,,38.16,46.23,42.195,코스닥,0.0,0.0,3.0,partial,438189.0,38.1604,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
바이오비쥬,2025-05-20,1657197,489460,20250502000293,[발행조건확정]증권신고서(지분증권),general,31.42,39.67,35.545,8000.0,9100.0,8550.0,9100.0,0.0643,8120.0,81.2,25.51,PER,13342.0,15524430.0,3000000.0,27300000000.0,31.42,39.67,35.545,코스닥,0.0,0.0,5.0,ok,507002.0,31.7943,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
바이오에프디엔씨,2022-02-21,01160974,251120,20220127000144,[발행조건확정]증권신고서(지분증권),general,20.4,36.8,28.6,23000.0,29000.0,26000.0,28000.0,0.0769,14799.0,147.99,28.85,PER,36414.2,8864700.0,1300000.0,,20.36,36.84,28.6,코스닥,0.0,0.0,5.0,ok,532934.0,23.1069,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
뱅크웨어글로벌,2024-08-12,01138595,199480,20240731000209,[발행조건확정]증권신고서(지분증권),general,27.93,39.31,33.62,16000.0,19000.0,17500.0,16000.0,-0.0857,,,,PER,26361.0,,1400000.0,,27.93,39.31,33.62,코스닥,0.0,0.0,3.0,partial,348349.0,39.3043,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
버넥트,2023-07-26,01605529,438700,20230714000339,[기재정정]증권신고서(지분증권),general,21.9,33.9,27.9,11500.0,13600.0,12550.0,16000.0,0.2749,9956.0,99.56,,EV/EBITDA,17408.0,,1920000.0,,21.88,33.94,27.91,코스닥,0.0,0.0,4.0,ok,3490948.0,8.0882,0.01,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
벡트,2024-12-16,1453944,457600,20241203000034,[발행조건확정]증권신고서(지분증권),general,23.7,31.53,27.615,3500.0,3900.0,3700.0,3900.0,0.0541,3174.0,31.74,22.08,PER,,,4750000.0,18525000000.0,23.7,31.53,27.615,코스닥,0.0,0.0,5.0,ok,579711.0,,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
보로노이,2022-06-24,01327746,310210,20220613000191,[발행조건확정]증권신고서(지분증권),general,36.5,44.8,40.65,40000.0,46000.0,43000.0,40000.0,-0.0698,,,,PER,72464.0,,1300000.0,52000000000.0,36.52,44.8,40.66,코스닥,0.0,0.0,3.0,partial,385674.0,44.8002,0.01,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
비츠로넥스텍,2025-11-21,01194607,488900,20251110000233,[발행조건확정]증권신고서(지분증권),general,21.95,33.26,27.605,5900.0,6900.0,6400.0,6900.0,0.0781,6781.0,67.81,37.78,PER,8840.0,,4400000.0,30360000000.0,21.95,33.26,27.605,코스닥,0.0,0.0,5.0,ok,650831.0,21.9457,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
사이냅소프트,2024-11-19,1207901,466410,20241106000152,[발행조건확정]증권신고서(지분증권),general,27.98,38.26,33.12,21000.0,24500.0,22750.0,24500.0,0.0769,6809.0,68.09,25.2,PER,34016.0,5037023.0,1010000.0,24745000000.0,27.98,38.26,33.12,코스닥,0.0,0.0,5.0,ok,450847.0,27.9751,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
