listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2023-10-04,한싹,35.28,20.01,27.645,35.28,20.01,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-09-25,인스웨이브시스템즈,49.14,38.96,44.05,49.14,38.96,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-17,빅텐츠,28.38,21.56,24.97,28.38,21.56,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-10,코츠테크놀로지,33.65,23.69,28.67,33.65,23.69,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-04,엠아이큐브솔루션,35.81,24.48,30.145,35.81,24.48,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-27,에이엘티,38.48,24.48,31.48,38.48,24.48,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-24,뷰티스킨,18.36,6.69,12.525,18.36,6.69,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-14,필에너지,30.5,20.73,25.615,30.5,20.73,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-29,시큐센,28.29,13.95,21.12,28.29,13.95,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-08,마녀공장,46.28,37.32,41.8,46.28,37.32,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-02,나라셀라,34.6,21.52,28.06,34.6,21.52,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-01,진영,41.21,31.41,36.31,41.21,31.41,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-05-24,기가비스,47.14,39.0,43.07,47.14,39.0,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-05-17,트루엔,36.22,23.47,29.845,36.22,23.47,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-04-27,토마토시스템,35.52,21.35,28.435,35.52,21.35,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-29,LB인베스트먼트,30.79,19.78,25.285,30.79,19.78,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-13,금양그린파워,44.23,33.41,38.82,33.41,44.23,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-03,나노팀,31.19,22.21,26.7,22.21,31.19,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-02,바이오인프라,36.26,25.64,30.95,25.64,36.26,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-20,이노진,22.17,6.6,14.385,6.6,22.17,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-09,꿈비,22.83,13.18,18.005,13.18,22.83,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-07,스튜디오미르,38.0,20.8,29.4,20.8,38.0,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-03,삼기이브이,25.51,10.98,18.245,10.98,25.51,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-01-27,미래반도체,21.14,10.72,15.93,10.72,21.14,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-01-19,한주라이트메탈,40.95,32.2,36.575,32.2,40.95,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
