company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
와이즈넛,20250114000177,[기재정정]증권신고서(지분증권),general,ok,5.0,4046706.0,24000.0,26000.0,17000.0,135.59,35.61,36659.0,900000.0,
우진엔텍,20240115000087,[발행조건확정]증권신고서(지분증권),general,partial,3.0,386832.0,4300.0,4900.0,5300.0,,,5756.0,2060000.0,코스닥
워트,20231013000580,[발행조건확정]증권신고서(지분증권),general,partial,3.0,366046.0,5000.0,5600.0,6500.0,,,6395.0,,코스닥
원일티엔아이,20250423000260,[발행조건확정]증권신고서(지분증권),general,ok,5.0,549270.0,11500.0,13500.0,13500.0,78.71,24.42,22929.0,1200000.0,코스닥
웨이비스,20241016000084,[발행조건확정]증권신고서(지분증권),general,partial,3.0,412137.0,11000.0,12500.0,15000.0,,,15238.0,1490000.0,코스닥
위너스,,,general,no_rcept_no,,,,,,,,,,
위츠,20241105000117,[발행조건확정]증권신고서(지분증권),general,ok,5.0,509602.0,5300.0,6400.0,6400.0,51.07,18.6,7509.0,3000000.0,코스닥
유라클,20240805000135,[발행조건확정]증권신고서(지분증권),general,ok,5.0,455422.0,18000.0,21000.0,21000.0,44.75,26.56,27181.0,751000.0,코스닥
유진테크놀로지,20231019000208,[발행조건확정]증권신고서(지분증권),general,partial,3.0,460854.0,12800.0,14500.0,17000.0,,,20879.0,1049482.0,코스닥
유투바이오,,,general,no_rcept_no,,,,,,,,,,
이노스페이스,20240619000220,[발행조건확정]증권신고서(지분증권),general,ok,4.0,751951.0,36400.0,43300.0,43300.0,129.99,,57754.0,1330000.0,코스닥
이노시뮬레이션,20230626000073,[발행조건확정]증권신고서(지분증권),general,partial,3.0,342535.0,13000.0,15000.0,15000.0,,,21390.0,900000.0,코스닥
이노진,20230208000172,[발행조건확정]증권신고서(지분증권),general,ok,5.0,381421.0,2500.0,3000.0,3000.0,14.6,26.78,3212.0,2600000.0,코스닥
이닉스,20240119000136,[발행조건확정]증권신고서(지분증권),general,partial,3.0,612198.0,9200.0,11000.0,14000.0,,,14090.0,3000000.0,코스닥
이뮨온시아,20250430001250,[발행조건확정]증권신고서(지분증권),general,ok,4.0,538141.0,3000.0,3600.0,3600.0,211.63,,5301.0,9140482.0,코스닥
이에이트,,,general,no_rcept_no,,,,,,,,,,
이엔셀,20240809000231,[발행조건확정]증권신고서(지분증권),general,ok,4.0,691023.0,13600.0,15300.0,15300.0,73.35,,19988.0,1566800.0,코스닥
이지스,20251201000405,[발행조건확정]증권신고서(지분증권),general,ok,4.0,914687.0,13000.0,15000.0,15000.0,71.13,,18150.0,1500000.0,코스닥
이지트로닉스,20220118000223,[발행조건확정]증권신고서(지분증권),general,partial,3.0,399902.0,19000.0,22000.0,22000.0,,,33374.0,1980000.0,코스닥
